source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
"The N.Y.C Gay Scene Guide, 1969",The International Stud,false,733 Greenwich Street,Leather,New York,NY,1965,0101000020E6100000D93442816F8052C0E708CF3A195E4440,1975,gay,,,true,true,false,265,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1968",The Sewer,false,11 East 16th Street,Dance,New York,NY,1968,0101000020E6100000E4F240E0987F52C095656755745E4440,1975,gay,,,true,true,false,267,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1968",The Blow-up,false,"2nd Ave below 81st, near 80th",Dance,New York,NY,1965,0101000020E6100000000000EF177D52C0576182851D634440,1975,gay,,1968.0,true,false,false,268,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Nautilus,false,269 West 23rd Street,Dance,New York,NY,1965,0101000020E6100000F8ABBEC2DB7F52C04B50EC36625F4440,1975,gay,Dressy nightclub,,true,true,false,269,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",Gigi's,false,Next door to Jack of Hearts,After-Hours,New York,NY,1965,0101000020E6100000981A5F83D77D52C0E5025D1C11614440,1975,gay,,,true,false,false,270,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",P.M.,false,204 West 18th Street,Leather,New York,NY,1965,0101000020E6100000000000FA0A7F52C0D4AFABDE225E4440,1975,gay,,,true,true,false,271,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Hayloft,false,835 Washington Street,Private Club,New York,NY,1965,0101000020E6100000E13CA4317D8052C0760CD98AC75E4440,1975,gay,,,true,,false,272,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",Kookie's,false,149 West 14 St,Watering Hole,New York,NY,1965,0101000020E6100000CEEB80D2ED7F52C0CE47840C855E4440,1975,lesbian,,,true,true,false,273,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
,Two Potato,false,143 Christopher Street,Bar,New York,,,0101000020E6100000000000947E8052C0179AB422D25D4440,,gay,,,true,true,false,274,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",Danny's,false,139 Christopher Street,Bar,New York,NY,1968,0101000020E610000000002021778052C01B17BF88D35D4440,1975,gay,,,true,true,false,277,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Bohemian,false,,,New York,NY,1969,0101000020E61000006D79BCFB298052C0B3A08BE1C55D4440,1975,lesbian,,,true,,false,282,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The O.K Corral,false,835 Washington Street,Leather,New York,NY,1965,0101000020E6100000876FFEB27D8052C0DCA96F4FC65E4440,1975,gay,,,true,true,false,286,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html,Uncle Charlie's,false,Christopher Street & West Side Highway,,New York,NY,1980,0101000020E6100000000080C1A38052C065EE320CC65D4440,1984,gay,Year needs confirming,,,,,298,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
