source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
Map 1980,International Bar,false,733 Greenwich St,-74.00694247,New York,NY,1980,0101000020E6100000000080D86E8052C003752CB2195E4440,,,Western Leather bar,,true,true,false,478,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Gay and Lesbian Yellow Pages 2000-2001,I.C. Guys,false,443 East 6 St,-73.98516809,New York,NY,2000,0101000020E610000000008068FE7E52C04C21746DE45C4440,,,,,true,true,false,479,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,John's Joint,false,1032 Second Av,-73.96647788,New York,NY,1980,0101000020E61000000000005CD77D52C058FC597AF8604440,,,,,true,true,false,480,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages 1991,Kastro Lounge,false,237 East 5 St,-73.99033796,New York,NY,1991,0101000020E6100000000000DF527F52C005D20905125D4440,,,,,true,true,false,481,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Infinfity,false,635 Broadway,-73.99609989,New York,NY,1980,0101000020E6100000000000ABC27F52C0F2187D93F85C4440,,,,,true,true,false,482,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Kelly's Village West,false,46 Bedford St,-74.0043189,New York,NY,1980,0101000020E610000000000046458052C05E80041D835D4440,,,cabaret and restaurant,,true,true,false,483,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Jeannie's Patio,false,48 West 8 St,-73.99854948,New York,NY,1969,0101000020E61000000000608CEA7F52C052D7AD21D65D4440,,,,,true,true,false,484,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Horn of Plenty,false,91 Charles St,-74.00505887,New York,NY,1980,0101000020E61000000000C04D508052C0B71EAC710B5E4440,,,,,true,true,false,485,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Jan Wallman,false,28 Cornelia St,-74.00213242,New York,NY,1980,0101000020E6100000000040E8268052C0A8C68006995D4440,,,,,true,true,false,486,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Jackie 60,false,432 West 14 St,-74.00668331,New York,NY,,0101000020E6100000000000DE708052C0B1014CE0E45E4440,,,"At The Bar Room, Tuesdays",,true,true,false,487,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,J's Hangout,false,675 Hudson St,-74.00523252,New York,NY,,0101000020E610000000000023598052C00A9C2F83C45E4440,,,Fun sex party,,true,true,false,488,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Ice Palace 57,false,57 West 57 St,-73.97574146,New York,NY,1980,0101000020E6100000FFFF7FE3837E52C0CB3CF6D3D6614440,,,,,true,true,false,489,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Make Up Room,false,125 East 11 St,-73.98969145,New York,NY,,0101000020E6100000000000B2527F52C01246E334AC5D4440,,,"At Webster Hall (Blacony Lounge), Fridays",,true,true,false,490,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Marquee,false,348 West 46 St,-73.98932605,New York,NY,1980,0101000020E61000000000800E587F52C04649294855614440,,,cabaret and restaurant,,true,true,false,491,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Male Room,false,125 East 11 St,-73.98969145,New York,NY,,0101000020E6100000000040AF517F52C0D6CEFC56AC5D4440,,,"At Webster Hall (Balcony Lounge), Wednesday",,true,true,false,492,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Mattachine Society ,false,243 West End Av,-73.98484208,New York,NY,1969,0101000020E61000000000806A0B7F52C06DD537FBC1634440,,,,,true,true,false,493,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Lick It,false,47 West 20 St,-73.9924796,New York,NY,,0101000020E6100000000040548E7F52C0839CFE06D55E4440,,,"At Limelight, Wednesday",,true,true,false,494,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Les Mouches,false,260 Eleventh Av,-74.00523338,New York,NY,1980,0101000020E610000000000064548052C046BD9B0721604440,,,"Restaurant,disco private",,true,true,false,495,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Luxor Baths,false,121 West 46 St,-73.98306747,New York,NY,1969,0101000020E61000000000801DEF7E52C0E88CE8A805614440,,,,,true,true,false,496,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Lyric Theatre,false,229 West 42 St,-73.98818967,New York,NY,1969,0101000020E6100000000000F43D7F52C0896E433FDE604440,,,,,true,true,false,497,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Leather Rack,false,247 West 42 St,-73.98884294,New York,NY,1980,0101000020E6100000000080584A7F52C0B34FC73BE8604440,,,,,true,true,false,498,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,La Stanza,false,953 First Ave,-73.96504245,New York,NY,1980,0101000020E6100000000000C8C57D52C0A136E780B4604440,,,,,true,true,false,499,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
